CD4,CD8b,CD3,CD8,cluster_label
388,285,215,281,3
426,261,188,284,3
259,215,115,338,3
305,383,350,687,1
509,471,612,660,9
278,211,183,148,3
263,158,97,66,3
409,301,279,289,3
278,182,161,145,3
441,250,377,233,10
472,403,350,391,3
156,55,46,115,2
434,376,334,426,3
344,369,416,194,9
237,169,98,60,3
355,295,232,307,3
444,375,353,706,1
234,71,217,170,0
270,283,494,180,9
372,261,252,204,3
557,622,512,805,1
198,165,140,245,3
285,240,179,228,3
267,171,83,343,3
381,333,247,360,3
365,334,247,315,3
342,225,147,288,3
215,235,111,176,3
272,192,180,129,3
264,149,134,141,3
300,308,237,358,3
343,292,123,284,3
445,389,320,447,3
550,377,434,291,10
294,203,123,196,3
408,380,262,603,1
521,586,508,817,1
505,400,473,552,9
479,447,482,755,1
429,345,294,355,3
481,439,424,625,1
519,507,482,726,1
448,426,355,716,1
432,375,479,348,9
268,272,122,322,3
276,225,148,226,3
349,374,284,741,1
232,201,180,323,3
261,351,249,630,1
336,220,253,248,3
313,276,188,258,3
303,379,282,655,1
247,209,192,210,3
349,254,150,267,3
561,339,493,388,10
617,299,580,186,10
393,455,359,738,1
396,346,292,324,3
325,313,248,278,3
327,262,223,246,3
320,278,128,246,3
183,156,84,155,3
477,390,315,382,3
258,253,99,186,3
365,260,222,208,3
463,472,424,675,1
326,152,151,157,3
350,271,246,360,3
438,371,340,705,1
232,164,166,131,3
292,221,160,162,3
128,6,16,183,2
330,287,218,382,3
239,148,50,64,3
387,368,261,410,3
242,147,162,210,3
452,375,327,355,3
353,197,200,195,3
358,251,159,178,3
418,343,274,333,3
330,302,166,307,3
87,20,61,568,5
94,60,49,9,2
207,141,80,62,3
442,404,329,374,3
460,398,369,388,3
336,315,252,328,3
191,178,111,211,3
386,335,274,338,3
417,439,295,722,1
327,491,376,658,1
394,304,249,340,3
334,61,283,184,0
310,295,236,310,3
225,107,127,231,3
407,327,294,339,3
235,159,103,76,3
432,491,404,762,1
409,314,249,335,3
312,301,232,343,3
470,525,468,736,1
548,383,505,676,9
331,265,227,253,3
496,332,443,279,10
431,364,448,332,10
363,341,271,389,3
572,359,501,315,10
282,248,178,265,3
215,112,106,85,3
413,355,383,412,10
418,492,418,752,1
241,189,138,181,3
336,389,320,253,9
341,308,561,290,9
318,422,271,645,1
512,390,414,303,10
475,5,426,152,0
376,298,271,261,3
351,445,356,696,1
426,339,288,437,3
475,227,348,227,10
346,275,211,258,3
394,367,313,280,3
362,256,139,270,3
303,257,235,207,3
275,101,124,187,3
375,337,264,292,3
315,184,201,117,3
448,429,349,631,1
399,263,534,367,9
491,305,397,298,10
420,300,264,301,3
484,461,405,708,1
346,391,272,634,1
327,377,153,628,9
419,454,340,699,1
394,286,276,292,3
125,106,100,544,5
521,499,505,770,1
234,146,62,193,3
302,277,185,295,3
363,316,285,584,1
434,377,401,759,9
459,336,410,361,10
500,218,363,251,10
403,506,435,716,1
505,319,454,214,10
451,289,316,493,9
148,115,101,378,5
236,234,164,601,9
239,197,110,149,3
334,271,228,266,3
220,220,145,230,3
451,512,453,764,1
480,302,366,295,10
226,195,126,214,3
384,249,383,302,10
345,417,316,718,1
567,473,525,661,1
250,182,168,174,3
283,235,186,198,3
485,291,465,194,10
343,284,238,266,3
376,499,384,736,1
430,503,332,714,1
224,169,103,216,3
211,149,188,127,3
326,242,241,144,3
321,309,258,262,3
408,318,242,297,3
281,215,121,218,3
75,388,304,620,6
408,126,296,88,0
207,195,24,227,3
230,225,225,493,9
306,211,151,244,3
333,418,275,715,1
407,332,303,320,3
515,483,454,620,1
375,381,308,564,1
267,231,204,214,3
421,317,471,392,9
244,238,198,288,3
353,443,351,774,1
288,378,256,550,1
434,290,297,273,10
366,291,267,273,3
248,179,143,58,3
467,363,281,342,3
107,88,87,331,2
547,555,469,727,1
309,206,191,282,3
57,431,347,627,6
383,268,232,346,3
536,370,431,362,10
506,354,443,285,10
467,615,522,810,1
204,95,8,176,2
479,512,399,675,1
555,364,466,294,10
431,552,459,808,1
467,383,338,395,3
100,89,62,557,5
42,87,76,304,2
519,427,451,656,1
230,234,207,314,3
256,102,137,251,3
205,247,48,592,9
334,291,211,339,3
291,278,226,268,3
291,265,196,283,3
297,348,257,625,1
257,207,98,478,9
75,118,21,315,2
501,329,380,255,10
521,594,536,752,1
247,124,143,67,3
362,199,341,258,10
296,225,208,293,3
268,388,278,618,1
131,38,360,194,8
333,269,165,303,3
465,312,402,326,10
129,282,364,742,6
324,162,172,240,3
495,292,523,217,10
363,381,255,426,9
333,265,227,284,3
506,557,486,768,1
285,224,126,198,3
455,349,233,324,3
357,294,209,299,3
409,321,271,252,3
439,377,311,319,3
117,28,103,271,2
233,183,193,100,3
222,129,27,130,3
257,249,145,202,3
315,446,305,658,1
411,357,416,326,10
381,453,325,666,1
415,357,248,370,3
321,242,181,272,3
442,426,330,655,1
100,187,176,587,6
473,376,363,331,10
268,209,114,190,3
388,406,344,717,1
429,364,264,346,3
80,10,80,62,2
449,635,563,756,1
401,330,294,324,3
466,366,424,678,9
383,449,368,748,1
303,203,200,268,3
399,241,220,265,3
329,334,280,443,9
361,284,236,339,3
331,475,347,697,1
151,24,101,206,2
299,138,362,201,0
283,198,118,246,3
438,319,283,316,3
246,214,68,350,3
63,35,345,188,8
254,203,86,169,3
512,545,492,815,1
203,151,56,140,3
371,297,208,302,3
415,460,423,621,1
327,229,40,257,3
389,292,256,314,3
346,310,234,283,3
239,218,390,251,9
321,275,204,307,3
135,310,275,600,6
477,460,446,660,1
399,279,208,256,3
322,281,137,316,3
537,408,418,360,10
309,282,223,289,3
382,471,459,556,9
102,43,29,401,5
241,175,148,155,3
384,319,209,642,9
376,280,138,257,3
228,109,140,12,3
132,145,162,630,5
122,139,50,474,5
175,169,96,563,5
293,271,161,301,3
383,450,354,656,1
258,371,250,625,1
300,242,207,199,3
266,234,184,226,3
256,196,88,222,3
483,470,355,707,1
327,274,234,159,3
450,405,423,713,1
373,320,259,320,3
259,242,153,238,3
323,156,88,204,3
351,370,303,617,1
378,496,455,600,1
370,449,358,761,1
398,312,235,405,3
472,325,317,346,10
233,69,150,226,3
402,270,398,285,10
360,183,296,273,10
313,285,204,315,3
129,94,15,212,2
158,155,79,201,2
360,292,223,436,9
384,394,364,525,9
222,163,157,189,3
332,305,236,246,3
285,171,204,188,3
269,240,172,238,3
388,229,370,244,10
190,188,89,189,3
169,209,172,275,3
137,184,116,521,5
395,554,475,752,1
311,205,133,189,3
276,437,231,630,1
427,281,362,191,10
338,298,254,287,3
233,181,145,139,3
329,280,154,271,3
310,301,220,337,3
473,362,370,306,10
406,368,334,439,3
486,352,419,316,10
314,248,210,181,3
302,128,120,239,3
305,257,77,247,3
283,184,196,263,3
524,572,522,702,1
436,446,332,673,1
284,216,439,250,9
244,177,93,118,3
278,243,190,247,3
225,108,93,232,3
330,202,225,235,3
239,177,119,198,3
143,421,288,645,6
276,168,98,242,3
339,263,183,284,3
211,155,91,202,3
243,182,145,236,3
274,204,163,36,3
265,160,121,240,3
370,312,283,337,3
342,433,360,705,1
519,494,453,646,1
235,216,190,99,3
431,325,238,294,3
310,278,222,285,3
328,233,167,237,3
292,168,107,229,3
317,261,166,262,3
374,371,271,429,3
315,262,225,272,3
469,200,457,307,10
127,134,28,651,5
424,390,349,212,9
464,354,367,351,10
430,62,388,1,0
315,196,194,605,9
381,427,304,644,1
387,297,251,287,3
356,331,264,409,3
342,285,246,234,3
399,298,142,283,3
501,361,446,353,10
311,281,201,285,3
184,163,66,372,5
361,265,213,248,3
269,235,123,189,3
167,100,28,649,5
462,447,392,655,1
289,170,47,255,3
78,74,33,158,2
226,134,124,243,3
478,370,410,353,10
343,350,313,615,1
307,276,191,277,3
103,282,308,653,6
401,382,299,294,3
360,398,331,648,1
220,59,266,135,0
419,285,316,645,9
315,243,226,255,3
234,163,179,165,3
232,237,176,278,3
364,278,166,291,3
241,242,153,206,3
290,263,64,237,3
462,314,509,707,9
375,320,264,320,3
311,78,287,188,0
353,466,308,693,1
428,51,476,161,0
459,340,363,314,10
315,304,284,14,9
361,238,201,258,3
345,481,364,734,1
311,152,212,559,9
334,175,155,244,3
344,265,210,296,3
398,355,290,410,3
365,308,259,337,3
290,195,172,201,3
269,216,43,150,3
356,251,151,249,3
549,421,438,463,10
280,229,222,264,3
402,348,261,383,3
280,213,99,247,3
242,127,133,221,3
295,227,159,260,3
393,280,266,252,3
151,109,4,248,2
131,104,14,188,2
285,181,145,229,3
401,39,320,213,0
268,183,124,202,3
138,150,381,407,8
229,208,170,213,3
364,126,335,144,0
247,193,246,173,3
299,194,174,112,3
487,298,418,251,10
397,278,256,366,3
324,262,171,255,3
330,270,224,265,3
270,245,165,58,3
321,292,244,296,3
439,354,269,371,3
108,332,59,430,9
454,394,347,428,3
355,218,334,587,9
164,148,75,523,5
258,232,200,78,3
429,482,414,681,1
483,367,371,430,10
479,447,501,632,9
333,389,309,669,1
165,40,76,295,2
319,263,230,300,3
379,549,405,787,1
397,555,406,839,1
217,139,146,184,3
277,121,125,246,3
277,225,172,285,3
374,325,319,527,9
248,220,189,374,3
265,227,150,64,3
221,135,110,149,3
221,198,123,230,3
407,300,234,273,3
210,151,120,260,3
246,127,143,257,3
142,317,239,700,6
438,42,351,225,0
378,143,304,198,0
282,213,166,292,3
437,244,394,270,10
234,194,218,245,3
167,55,30,368,5
345,274,200,257,3
227,202,131,100,3
237,196,102,130,3
464,388,376,434,10
140,141,16,406,5
274,83,155,133,0
338,268,265,287,3
281,235,203,170,3
297,152,90,155,3
215,72,179,109,0
290,301,230,225,3
490,354,395,292,10
257,219,92,190,3
306,164,155,201,3
154,147,137,248,2
318,267,172,553,9
267,148,157,177,3
313,255,165,310,3
485,422,414,638,1
316,258,261,311,3
178,184,123,214,3
213,144,112,44,3
276,144,26,109,3
419,315,229,292,3
166,55,22,458,5
494,448,520,610,9
270,179,131,119,3
257,192,91,234,3
289,228,163,284,3
359,281,207,181,3
261,105,213,235,0
268,221,113,293,3
254,95,151,176,3
321,240,166,281,3
96,83,62,465,5
246,207,33,157,3
468,495,423,629,1
187,130,105,630,5
471,214,368,268,10
275,219,199,235,3
228,165,44,203,3
489,391,441,638,1
414,283,160,331,3
364,160,414,195,0
365,290,156,385,9
392,293,230,317,3
297,254,172,246,3
291,257,235,238,3
273,276,208,237,3
229,405,225,674,1
435,481,332,724,1
286,255,192,253,3
360,488,375,665,1
415,353,329,410,3
229,141,154,197,3
248,182,181,176,3
307,275,241,312,3
278,222,156,256,3
242,51,67,172,3
239,192,156,200,3
293,208,128,413,9
398,169,345,600,9
251,184,117,100,3
280,273,242,375,3
294,251,220,387,3
210,157,150,116,3
275,282,149,626,9
331,206,275,259,3
309,201,204,315,3
320,203,47,190,3
241,145,125,74,3
523,381,447,381,10
80,15,46,263,2
286,155,66,7,3
257,166,155,80,3
383,272,234,236,3
140,343,235,618,6
333,238,194,353,3
223,124,173,256,3
409,234,354,278,10
319,262,200,274,3
220,189,93,173,3
292,233,192,245,3
351,306,260,278,3
312,235,98,231,3
259,1,242,84,0
309,289,322,208,9
222,198,158,238,3
450,290,349,291,10
272,152,116,209,3
274,214,100,194,3
260,178,167,241,3
209,194,84,10,3
241,157,53,220,3
276,271,297,345,9
82,123,149,577,5
492,329,414,408,10
129,112,8,152,2
330,272,206,314,3
167,213,43,395,5
169,146,147,353,5
198,119,110,96,3
312,271,235,291,3
481,293,356,303,10
246,97,88,316,2
254,184,135,179,3
307,250,213,252,3
286,226,154,206,3
93,93,53,439,5
445,100,415,195,0
152,167,93,430,5
444,416,362,758,1
263,165,157,230,3
149,56,18,235,2
312,283,179,243,3
131,180,130,262,2
331,285,282,288,3
227,190,127,198,3
435,230,360,256,10
171,134,104,109,3
246,215,57,715,9
318,253,210,282,3
231,163,111,98,3
104,29,66,512,5
234,214,67,250,3
429,370,454,551,9
334,294,240,345,3
149,130,58,182,2
247,238,124,123,3
156,96,91,251,2
257,204,178,207,3
438,485,385,685,1
443,399,405,568,9
208,145,4,33,3
287,262,197,252,3
285,214,229,626,9
272,116,164,205,3
266,151,198,36,3
186,122,83,113,3
300,121,139,203,3
453,401,415,633,1
289,240,79,245,3
316,275,259,299,3
371,82,295,243,0
315,168,153,101,3
169,72,57,362,5
351,222,221,190,3
247,207,115,301,3
285,178,194,262,3
310,442,351,650,1
268,249,191,334,3
247,190,55,228,3
342,292,190,262,3
217,32,75,264,2
351,340,296,320,3
488,273,456,167,10
491,174,447,150,10
204,16,44,146,3
293,142,316,175,0
333,271,137,334,3
276,226,154,224,3
211,201,143,250,3
305,185,195,89,3
252,214,112,53,3
234,177,109,168,3
216,169,106,193,3
124,426,295,635,6
342,242,223,247,3
230,220,145,303,3
307,146,121,192,3
344,302,355,668,9
296,158,148,155,3
282,134,332,141,0
273,153,142,118,3
118,98,113,226,2
446,311,370,350,10
506,336,380,283,10
111,145,55,279,2
151,197,107,494,5
279,84,381,2,0
271,247,153,212,3
477,85,431,235,0
385,344,278,320,3
133,119,82,206,2
357,336,320,612,1
306,293,165,120,3
75,83,427,515,8
334,238,217,237,3
270,181,147,111,3
346,436,385,752,1
136,106,131,637,5
288,229,183,85,3
305,152,93,191,3
407,259,330,270,10
308,264,169,243,3
277,99,288,193,0
452,173,397,264,10
282,213,194,223,3
180,147,84,321,2
475,298,309,302,10
274,207,208,195,3
269,226,164,312,3
155,35,63,228,2
414,259,201,158,3
355,449,356,731,1
310,319,263,345,3
361,278,272,688,9
143,120,71,368,5
385,360,221,340,3
272,226,165,168,3
173,83,132,110,2
358,307,191,432,9
301,224,182,162,3
300,494,333,764,1
249,171,139,141,3
272,338,272,643,1
273,196,31,231,3
235,205,155,140,3
276,187,169,148,3
370,315,198,310,3
489,164,382,181,10
314,199,152,195,3
227,142,12,226,3
278,187,80,214,3
340,499,405,737,1
292,283,208,316,3
126,99,21,530,5
288,59,337,157,0
326,232,154,188,3
323,197,176,270,3
343,262,175,251,3
298,247,187,332,3
256,293,225,261,3
353,290,243,253,3
73,7,80,206,2
240,240,50,590,9
501,183,516,186,10
330,304,189,276,3
150,144,46,532,5
256,170,46,128,3
143,463,322,655,6
231,139,160,170,3
331,261,232,305,3
247,138,68,186,3
288,195,147,231,3
319,260,235,266,3
192,201,190,166,3
231,190,110,103,3
322,198,77,191,3
303,206,200,202,3
268,181,20,77,3
222,194,117,370,3
374,326,271,309,3
91,61,69,154,2
213,204,108,53,3
310,210,133,123,3
254,162,195,131,3
304,207,123,31,3
263,222,177,146,3
238,160,9,221,3
262,180,91,91,3
249,191,112,126,3
264,276,291,706,9
422,253,331,174,10
496,269,365,244,10
216,188,41,250,3
288,196,151,171,3
118,84,6,265,2
289,299,364,458,9
157,24,37,217,2
195,94,74,52,3
376,297,236,324,3
264,177,79,159,3
173,39,126,153,3
365,594,462,734,1
283,205,204,153,3
117,146,114,268,2
255,154,156,62,3
214,204,154,200,3
277,248,228,301,3
389,291,230,214,3
180,123,102,145,3
259,188,67,171,3
296,289,230,332,3
366,339,247,318,3
366,319,226,253,3
336,27,247,156,0
369,322,429,582,9
36,94,52,486,5
302,215,240,276,3
272,205,174,230,3
272,172,119,170,3
122,87,90,439,5
141,170,24,144,2
257,189,69,155,3
205,203,152,187,3
316,281,183,250,3
464,509,403,771,1
240,165,160,211,3
280,205,125,207,3
439,244,476,160,10
261,187,91,235,3
366,284,222,279,3
138,40,1,161,2
257,136,99,145,3
263,256,231,83,3
198,135,149,142,3
486,325,317,263,10
302,185,171,470,9
185,132,156,172,3
139,118,7,61,2
527,357,529,333,10
435,230,349,158,10
217,165,92,454,5
196,177,158,246,3
250,190,153,201,3
142,130,96,502,5
169,112,79,488,5
369,130,273,267,0
299,193,166,146,3
192,437,408,635,6
310,249,213,551,9
305,51,301,196,0
387,252,300,481,9
198,85,64,127,3
250,137,67,139,3
206,136,29,277,3
238,210,144,296,3
301,271,163,287,3
233,150,74,157,3
322,196,181,210,3
316,151,174,257,3
40,424,278,728,6
186,57,25,502,5
180,63,88,246,2
354,195,152,160,3
436,473,404,778,1
315,213,186,305,3
323,275,225,272,3
305,88,333,142,0
309,171,124,172,3
249,196,78,161,3
280,200,111,206,3
232,323,146,195,9
230,166,196,215,3
134,443,401,652,6
378,57,283,168,0
233,137,85,81,3
208,69,95,148,3
269,164,212,168,3
168,146,30,232,2
252,175,98,145,3
402,83,308,218,0
250,228,151,292,3
247,221,152,222,3
378,309,249,298,3
384,367,434,699,9
267,195,111,200,3
291,204,168,179,3
172,134,99,172,3
253,190,56,168,3
261,215,181,100,3
335,179,109,200,3
130,92,111,302,2
238,145,135,229,3
327,284,255,326,3
107,98,56,445,5
285,139,106,207,3
304,217,258,197,3
313,153,48,166,3
166,70,14,193,2
264,242,186,220,3
195,216,122,129,3
273,165,93,177,3
557,315,468,336,10
172,105,48,241,2
265,119,216,213,0
471,466,415,671,1
328,182,398,221,0
207,120,107,112,3
255,245,182,114,3
460,398,406,376,10
344,254,164,236,3
398,429,312,676,1
391,376,300,247,9
309,163,182,187,3
245,402,263,627,1
264,238,148,241,3
162,100,173,745,8
359,312,199,269,3
256,197,75,146,3
284,224,110,250,3
269,210,179,123,3
265,224,221,442,9
271,228,201,266,3
211,202,34,135,3
270,179,147,160,3
280,58,116,140,3
338,463,381,611,1
315,302,246,332,3
316,272,224,233,3
312,260,181,247,3
151,107,3,509,5
134,319,83,142,9
227,221,157,192,3
258,254,164,323,3
404,292,250,276,3
248,174,95,197,3
140,58,81,178,2
312,268,164,195,3
340,313,218,247,3
441,254,386,262,10
302,210,115,217,3
268,113,73,25,3
306,257,223,545,9
129,383,178,638,6
306,231,111,189,3
249,226,130,271,3
366,314,256,352,3
305,486,341,672,1
197,487,362,665,6
297,235,171,435,9
219,168,112,83,3
31,95,315,127,8
353,235,137,297,3
360,476,347,751,1
66,314,343,645,6
181,123,62,143,3
211,210,151,196,3
254,200,130,231,3
122,118,35,549,5
237,166,144,173,3
382,275,205,287,3
208,174,146,212,3
382,461,314,701,1
247,236,104,277,3
273,188,152,259,3
396,268,178,240,3
378,470,338,701,1
320,247,186,373,3
204,230,180,558,6
250,178,61,252,3
252,189,145,262,3
228,141,130,198,3
340,237,204,194,3
127,85,73,308,2
301,74,224,123,0
347,270,272,278,3
302,46,253,3,0
103,100,60,427,5
162,206,99,198,3
477,377,330,372,3
324,251,172,185,3
252,228,153,201,3
288,117,124,256,3
132,103,130,404,5
226,117,114,132,3
259,209,182,236,3
91,287,89,568,6
238,202,171,192,3
282,152,36,244,3
269,174,151,192,3
299,240,214,113,3
185,143,142,45,3
97,301,225,675,6
311,491,333,769,1
286,248,186,169,3
322,245,243,277,3
339,356,360,642,1
235,78,207,170,0
269,226,134,229,3
245,98,24,166,3
235,168,172,125,3
217,151,222,178,3
325,99,215,175,0
96,101,447,557,8
351,219,198,134,3
107,319,228,626,6
491,370,433,363,10
296,151,77,162,3
271,226,193,281,3
196,192,181,173,3
345,224,388,469,9
264,165,118,78,3
268,219,136,189,3
234,203,152,167,3
378,471,435,784,1
134,165,125,545,5
353,228,161,183,3
248,213,188,129,3
231,184,150,252,3
236,167,160,175,3
235,168,68,77,3
298,147,278,197,0
517,316,425,441,10
293,222,129,264,3
375,277,267,254,3
274,228,187,191,3
103,293,103,604,6
468,371,432,657,9
472,462,405,732,1
121,54,73,117,2
312,249,200,233,3
288,215,104,248,3
263,219,139,275,3
206,163,72,225,3
342,304,229,293,3
253,159,109,197,3
175,51,99,375,5
279,271,155,278,3
322,242,125,215,3
207,94,109,167,3
333,261,213,288,3
274,214,187,236,3
322,137,133,166,3
101,401,280,623,6
175,167,69,446,5
291,246,88,120,3
350,500,358,724,1
252,177,147,107,3
376,328,267,318,3
315,184,109,262,3
168,114,100,372,5
261,214,188,184,3
186,124,96,79,3
158,178,36,154,3
237,183,41,120,3
237,146,138,133,3
331,174,331,190,0
242,129,72,195,3
226,149,173,202,3
421,357,313,307,3
184,133,118,406,5
360,255,154,175,3
336,261,161,272,3
136,90,109,47,2
140,77,48,318,2
253,209,112,223,3
166,148,362,572,8
276,231,109,154,3
288,227,220,210,3
324,141,215,97,0
132,267,368,583,6
282,211,154,253,3
291,230,168,176,3
259,235,181,77,3
239,208,92,239,3
276,225,161,569,9
318,242,183,281,3
329,268,150,243,3
244,139,448,99,8
114,167,29,504,5
313,123,199,228,0
267,131,136,226,3
413,3,387,245,0
304,252,218,242,3
341,250,211,265,3
285,206,154,433,9
247,233,206,125,3
299,152,205,192,3
487,487,439,782,1
260,242,192,260,3
217,73,118,83,0
283,237,159,227,3
275,203,140,212,3
153,83,285,307,8
206,114,36,147,3
309,214,85,222,3
140,92,90,240,2
248,204,139,241,3
239,149,84,250,3
228,58,104,182,3
242,5,191,77,0
202,192,94,224,3
304,229,162,137,3
211,171,43,204,3
283,198,48,192,3
159,14,59,616,5
262,212,144,160,3
309,235,379,179,9
200,126,86,177,3
399,338,296,337,3
280,153,142,25,3
340,325,239,361,3
256,214,153,356,3
379,133,272,71,0
89,282,249,592,6
246,115,121,164,3
146,73,64,532,5
266,199,174,278,3
263,207,227,115,3
245,173,190,161,3
245,202,101,147,3
274,212,89,262,3
